Time(us),number of Characters,,Time(us),number of Characters,,Time(us),number of Characters
20,1213,,274,14582,,2540,113898
28,1213,,248,14582,,2029,113898
21,1213,,227,14582,,2089,113898
20,1213,,226,14582,,1788,113898
23,1213,,234,14582,,1968,113898
22,1213,,233,14582,,1917,113898
21,1213,,269,14582,,2892,113898
31,1213,,239,14582,,1990,113898
23,1213,,257,14582,,2062,113898
21,1213,,276,14582,,2350,113898
24,1213,,313,14582,,1999,113898
24,1213,,284,14582,,1928,113898
29,1213,,257,14582,,2356,113898
22,1213,,246,14582,,2115,113898
36,1213,,265,14582,,1941,113898
22,1213,,254,14582,,1901,113898
22,1213,,257,14582,,2088,113898
22,1213,,304,14582,,1950,113898
29,1213,,488,14582,,1854,113898
22,1213,,945,14582,,1924,113898
24,1213,,269,14582,,1929,113898
23,1213,,1726,14582,,2310,113898
22,1213,,605,14582,,2000,113898
22,1213,,313,14582,,1888,113898
22,1213,,270,14582,,1957,113898
22,1213,,344,14582,,2122,113898
21,1213,,314,14582,,2195,113898
24,1213,,273,14582,,2036,113898
21,1213,,320,14582,,1896,113898
24,1213,,231,14582,,1938,113898
23,1213,,283,14582,,3634,113898
21,1213,,261,14582,,2405,113898
21,1213,,244,14582,,1943,113898
23,1213,,261,14582,,2148,113898
24,1213,,243,14582,,2084,113898
21,1213,,271,14582,,2005,113898
22,1213,,241,14582,,2051,113898
22,1213,,270,14582,,1864,113898
30,1213,,283,14582,,2075,113898
24,1213,,284,14582,,2878,113898
26,1213,,375,14582,,2194,113898
23,1213,,236,14582,,1878,113898
26,1213,,1054,14582,,1908,113898
26,1213,,437,14582,,1979,113898
22,1213,,250,14582,,2111,113898
42,1213,,256,14582,,1905,113898
39,1213,,235,14582,,1848,113898
23,1213,,267,14582,,2296,113898
22,1213,,265,14582,,2528,113898
22,1213,,242,14582,,1953,113898
22,1213,,243,14582,,2032,113898
24,1213,,278,14582,,1945,113898
24,1213,,247,14582,,1869,113898
29,1213,,477,14582,,1865,113898
25,1213,,281,14582,,2032,113898
24,1213,,297,14582,,2013,113898
23,1213,,231,14582,,1902,113898
24,1213,,228,14582,,1930,113898
24,1213,,267,14582,,1973,113898
26,1213,,256,14582,,2194,113898
29,1213,,281,14582,,1876,113898
25,1213,,283,14582,,2001,113898
27,1213,,285,14582,,1934,113898
22,1213,,263,14582,,2300,113898
23,1213,,255,14582,,1870,113898
38,1213,,229,14582,,1848,113898
33,1213,,230,14582,,1933,113898
22,1213,,244,14582,,1847,113898
22,1213,,313,14582,,1924,113898
22,1213,,417,14582,,2102,113898
23,1213,,246,14582,,1957,113898
27,1213,,394,14582,,1860,113898
26,1213,,277,14582,,1831,113898
24,1213,,349,14582,,2463,113898
24,1213,,266,14582,,2025,113898
24,1213,,244,14582,,1848,113898
25,1213,,428,14582,,2075,113898
28,1213,,366,14582,,1946,113898
22,1213,,350,14582,,1840,113898
24,1213,,335,14582,,1947,113898
21,1213,,357,14582,,1867,113898
22,1213,,332,14582,,1881,113898
23,1213,,442,14582,,2130,113898
22,1213,,238,14582,,1959,113898
22,1213,,287,14582,,2118,113898
22,1213,,243,14582,,1926,113898
21,1213,,321,14582,,1951,113898
23,1213,,280,14582,,1835,113898
28,1213,,294,14582,,1937,113898
25,1213,,235,14582,,2100,113898
24,1213,,248,14582,,2144,113898
29,1213,,251,14582,,1936,113898
24,1213,,240,14582,,1883,113898
24,1213,,245,14582,,1920,113898
23,1213,,234,14582,,2234,113898
24,1213,,270,14582,,1876,113898
23,1213,,254,14582,,1903,113898
25,1213,,239,14582,,1855,113898
26,1213,,243,14582,,1941,113898
23,1213,,269,14582,,2135,113898
27,1213,,235,14582,,1994,113898
23,1213,,247,14582,,2145,113898
91,1213,,253,14582,,1872,113898
24,1213,,236,14582,,2728,113898
24,1213,,233,14582,,1922,113898
104,1213,,287,14582,,1919,113898
25,1213,,324,14582,,2548,113898
23,1213,,234,14582,,2463,113898
26,1213,,260,14582,,2055,113898
25,1213,,249,14582,,1922,113898
24,1213,,303,14582,,2030,113898
27,1213,,265,14582,,2525,113898
24,1213,,237,14582,,1838,113898
24,1213,,245,14582,,1829,113898
23,1213,,246,14582,,1901,113898
22,1213,,272,14582,,2014,113898
34,1213,,240,14582,,2066,113898
61,1213,,241,14582,,1900,113898
24,1213,,245,14582,,1860,113898
25,1213,,412,14582,,1923,113898
23,1213,,242,14582,,3181,113898
23,1213,,235,14582,,2033,113898
25,1213,,241,14582,,2111,113898
23,1213,,294,14582,,2018,113898
24,1213,,306,14582,,2064,113898
22,1213,,229,14582,,2146,113898
23,1213,,306,14582,,1922,113898
96,1213,,460,14582,,1802,113898
24,1213,,294,14582,,1876,113898
24,1213,,232,14582,,1922,113898
24,1213,,228,14582,,1893,113898
29,1213,,240,14582,,1967,113898
29,1213,,253,14582,,1860,113898
28,1213,,454,14582,,1885,113898
25,1213,,250,14582,,1826,113898
46,1213,,264,14582,,1963,113898
47,1213,,282,14582,,2132,113898
23,1213,,277,14582,,1855,113898
25,1213,,250,14582,,1907,113898
26,1213,,231,14582,,2740,113898
50,1213,,226,14582,,2424,113898
24,1213,,230,14582,,2281,113898
30,1213,,237,14582,,1823,113898
26,1213,,266,14582,,1985,113898
24,1213,,260,14582,,1966,113898
23,1213,,236,14582,,1817,113898
23,1213,,232,14582,,2804,113898
22,1213,,229,14582,,3393,113898
23,1213,,301,14582,,2172,113898
25,1213,,232,14582,,2198,113898
25,1213,,230,14582,,3370,113898
24,1213,,252,14582,,2089,113898
26,1213,,256,14582,,1899,113898
24,1213,,252,14582,,1876,113898
24,1213,,240,14582,,1832,113898
33,1213,,231,14582,,1915,113898
29,1213,,232,14582,,1960,113898
28,1213,,234,14582,,1842,113898
24,1213,,233,14582,,1834,113898
25,1213,,269,14582,,1853,113898
27,1213,,240,14582,,1866,113898
25,1213,,253,14582,,1873,113898
24,1213,,246,14582,,2076,113898
26,1213,,252,14582,,1906,113898
60,1213,,259,14582,,1883,113898
28,1213,,249,14582,,1838,113898
25,1213,,231,14582,,1864,113898
24,1213,,234,14582,,2383,113898
31,1213,,233,14582,,1820,113898
26,1213,,233,14582,,1919,113898
24,1213,,276,14582,,1939,113898
24,1213,,268,14582,,2054,113898
25,1213,,232,14582,,1914,113898
22,1213,,255,14582,,1829,113898
27,1213,,245,14582,,1872,113898
29,1213,,305,14582,,1834,113898
23,1213,,271,14582,,2036,113898
25,1213,,237,14582,,2121,113898
23,1213,,228,14582,,1946,113898
29,1213,,242,14582,,1836,113898
25,1213,,245,14582,,1843,113898
24,1213,,252,14582,,1885,113898
46,1213,,236,14582,,2461,113898
27,1213,,278,14582,,1890,113898
24,1213,,242,14582,,1859,113898
23,1213,,242,14582,,1898,113898
28,1213,,303,14582,,1833,113898
22,1213,,301,14582,,1876,113898
22,1213,,229,14582,,1896,113898
25,1213,,230,14582,,2043,113898
22,1213,,233,14582,,1823,113898
22,1213,,236,14582,,1832,113898
24,1213,,237,14582,,1835,113898
27,1213,,293,14582,,1948,113898
23,1213,,236,14582,,1928,113898
22,1213,,231,14582,,1856,113898
22,1213,,240,14582,,1976,113898
21,1213,,292,14582,,1884,113898
48,1213,,229,14582,,1829,113898
23,1213,,235,14582,,1944,113898
24,1213,,241,14582,,1831,113898
22,1213,,233,14582,,1881,113898
26,1213,,313,14582,,1951,113898
22,1213,,265,14582,,1891,113898
24,1213,,233,14582,,2061,113898
22,1213,,230,14582,,1984,113898
22,1213,,226,14582,,1873,113898
23,1213,,246,14582,,1871,113898
26,1213,,234,14582,,1841,113898
24,1213,,235,14582,,1881,113898
25,1213,,235,14582,,2985,113898
25,1213,,246,14582,,1848,113898
21,1213,,241,14582,,1860,113898
22,1213,,243,14582,,1835,113898
23,1213,,233,14582,,1925,113898
23,1213,,234,14582,,1981,113898
22,1213,,287,14582,,2135,113898
21,1213,,298,14582,,1888,113898
23,1213,,276,14582,,1969,113898
25,1213,,230,14582,,1838,113898
22,1213,,234,14582,,1908,113898
24,1213,,231,14582,,2038,113898
24,1213,,225,14582,,1853,113898
23,1213,,231,14582,,1863,113898
22,1213,,273,14582,,1828,113898
28,1213,,279,14582,,2620,113898
22,1213,,235,14582,,1882,113898
26,1213,,228,14582,,1828,113898
28,1213,,231,14582,,1881,113898
22,1213,,229,14582,,1822,113898
30,1213,,230,14582,,1824,113898
27,1213,,254,14582,,5279,113898
24,1213,,243,14582,,2497,113898
28,1213,,242,14582,,1848,113898
23,1213,,239,14582,,1924,113898
22,1213,,250,14582,,1891,113898
21,1213,,229,14582,,1923,113898
25,1213,,231,14582,,1937,113898
23,1213,,228,14582,,1877,113898
27,1213,,267,14582,,1857,113898
24,1213,,280,14582,,1832,113898
24,1213,,236,14582,,2068,113898
25,1213,,234,14582,,1909,113898
28,1213,,252,14582,,1925,113898
26,1213,,260,14582,,1871,113898
26,1213,,227,14582,,1892,113898
25,1213,,228,14582,,1828,113898
27,1213,,313,14582,,1897,113898
30,1213,,303,14582,,1914,113898
23,1213,,252,14582,,1842,113898
22,1213,,233,14582,,1814,113898
22,1213,,229,14582,,1826,113898
45,1213,,245,14582,,2133,113898
31,1213,,227,14582,,1884,113898
23,1213,,236,14582,,1867,113898
22,1213,,236,14582,,1851,113898
23,1213,,276,14582,,1859,113898
30,1213,,231,14582,,2047,113898
23,1213,,227,14582,,2232,113898
26,1213,,253,14582,,1942,113898
23,1213,,267,14582,,1841,113898
24,1213,,233,14582,,1824,113898
28,1213,,265,14582,,1861,113898
23,1213,,284,14582,,1924,113898
26,1213,,267,14582,,1826,113898
64,1213,,295,14582,,1828,113898
23,1213,,229,14582,,1974,113898
22,1213,,231,14582,,1850,113898
22,1213,,232,14582,,1872,113898
24,1213,,228,14582,,1922,113898
31,1213,,233,14582,,1868,113898
30,1213,,230,14582,,1849,113898
22,1213,,248,14582,,1825,113898
23,1213,,245,14582,,1883,113898
22,1213,,228,14582,,1973,113898
28,1213,,229,14582,,1833,113898
24,1213,,234,14582,,1882,113898
24,1213,,258,14582,,1865,113898
24,1213,,235,14582,,1820,113898
22,1213,,231,14582,,1934,113898
24,1213,,259,14582,,2121,113898
69,1213,,246,14582,,1857,113898
25,1213,,242,14582,,1834,113898
24,1213,,236,14582,,1822,113898
38,1213,,233,14582,,1831,113898
22,1213,,232,14582,,1959,113898
25,1213,,250,14582,,1943,113898
22,1213,,233,14582,,1827,113898
23,1213,,231,14582,,1830,113898
30,1213,,321,14582,,1943,113898
37,1213,,297,14582,,1831,113898
24,1213,,299,14582,,1985,113898
22,1213,,292,14582,,1984,113898
23,1213,,243,14582,,1835,113898
22,1213,,233,14582,,1841,113898
22,1213,,235,14582,,1845,113898
26,1213,,274,14582,,2001,113898
29,1213,,283,14582,,1915,113898
35,1213,,323,14582,,1843,113898
24,1213,,297,14582,,1816,113898
24,1213,,247,14582,,1889,113898
24,1213,,235,14582,,1857,113898
24,1213,,261,14582,,1943,113898
28,1213,,252,14582,,2003,113898
80,1213,,360,14582,,1848,113898
22,1213,,272,14582,,1850,113898
38,1213,,279,14582,,1859,113898
22,1213,,257,14582,,1885,113898
22,1213,,274,14582,,1955,113898
22,1213,,234,14582,,1828,113898
21,1213,,234,14582,,1854,113898
22,1213,,236,14582,,1986,113898
50,1213,,248,14582,,1823,113898
29,1213,,345,14582,,2070,113898
22,1213,,236,14582,,2048,113898
22,1213,,232,14582,,1847,113898
27,1213,,241,14582,,1829,113898
22,1213,,257,14582,,1810,113898
21,1213,,232,14582,,2098,113898
22,1213,,264,14582,,2018,113898
22,1213,,258,14582,,1826,113898
23,1213,,243,14582,,1836,113898
21,1213,,277,14582,,1937,113898
30,1213,,251,14582,,1779,113898
22,1213,,228,14582,,1850,113898
23,1213,,231,14582,,2010,113898
23,1213,,228,14582,,1985,113898
22,1213,,253,14582,,1858,113898
22,1213,,290,14582,,1828,113898
23,1213,,265,14582,,1870,113898
23,1213,,231,14582,,1955,113898
22,1213,,227,14582,,1918,113898
27,1213,,233,14582,,1925,113898
22,1213,,299,14582,,1943,113898
40,1213,,231,14582,,1822,113898
27,1213,,249,14582,,1898,113898
25,1213,,234,14582,,2034,113898
61,1213,,242,14582,,1874,113898
22,1213,,234,14582,,1826,113898
22,1213,,237,14582,,1825,113898
22,1213,,246,14582,,1880,113898
21,1213,,267,14582,,2083,113898
22,1213,,231,14582,,1906,113898
21,1213,,304,14582,,1838,113898
21,1213,,274,14582,,1834,113898
21,1213,,234,14582,,2059,113898
28,1213,,234,14582,,2017,113898
27,1213,,279,14582,,2212,113898
23,1213,,232,14582,,2235,113898
22,1213,,233,14582,,1874,113898
21,1213,,233,14582,,2035,113898
23,1213,,280,14582,,2001,113898
22,1213,,244,14582,,1831,113898
27,1213,,275,14582,,1884,113898
22,1213,,236,14582,,1899,113898
22,1213,,233,14582,,1822,113898
23,1213,,230,14582,,2353,113898
106,1213,,247,14582,,2456,113898
22,1213,,262,14582,,2364,113898
22,1213,,250,14582,,2019,113898
22,1213,,282,14582,,2083,113898
22,1213,,235,14582,,1841,113898
22,1213,,257,14582,,2269,113898
22,1213,,234,14582,,1822,113898
22,1213,,230,14582,,1849,113898
22,1213,,271,14582,,2192,113898
22,1213,,247,14582,,1829,113898
22,1213,,245,14582,,1908,113898
23,1213,,256,14582,,1816,113898
25,1213,,256,14582,,2070,113898
25,1213,,251,14582,,1970,113898
23,1213,,235,14582,,1824,113898
25,1213,,249,14582,,1961,113898
21,1213,,228,14582,,2189,113898
22,1213,,247,14582,,1850,113898
23,1213,,233,14582,,1951,113898
23,1213,,248,14582,,1838,113898
24,1213,,248,14582,,2261,113898
22,1213,,238,14582,,2089,113898
29,1213,,265,14582,,1822,113898
24,1213,,256,14582,,2253,113898
23,1213,,230,14582,,1998,113898
24,1213,,246,14582,,2088,113898
22,1213,,228,14582,,2581,113898
23,1213,,304,14582,,1916,113898
31,1213,,255,14582,,1957,113898
39,1213,,265,14582,,1834,113898
23,1213,,262,14582,,2461,113898
22,1213,,250,14582,,2516,113898
23,1213,,246,14582,,1899,113898
25,1213,,228,14582,,1946,113898
35,1213,,240,14582,,2006,113898
22,1213,,233,14582,,2074,113898
28,1213,,230,14582,,2059,113898
29,1213,,247,14582,,2000,113898
24,1213,,353,14582,,1840,113898
27,1213,,234,14582,,1835,113898
65,1213,,229,14582,,2347,113898
29,1213,,243,14582,,2054,113898
27,1213,,229,14582,,1883,113898
24,1213,,236,14582,,1862,113898
22,1213,,276,14582,,1854,113898
21,1213,,240,14582,,2195,113898
31,1213,,261,14582,,1960,113898
26,1213,,233,14582,,1892,113898
24,1213,,241,14582,,1898,113898
22,1213,,240,14582,,1844,113898
23,1213,,233,14582,,2087,113898
21,1213,,233,14582,,2294,113898
24,1213,,260,14582,,1971,113898
23,1213,,259,14582,,1923,113898
24,1213,,246,14582,,2085,113898
27,1213,,232,14582,,1944,113898
25,1213,,234,14582,,2113,113898
23,1213,,236,14582,,2360,113898
22,1213,,243,14582,,1833,113898
24,1213,,265,14582,,1844,113898
21,1213,,270,14582,,1835,113898
21,1213,,233,14582,,1857,113898
22,1213,,337,14582,,1922,113898
27,1213,,252,14582,,2000,113898
24,1213,,257,14582,,1963,113898
23,1213,,234,14582,,1929,113898
21,1213,,249,14582,,1858,113898
25,1213,,257,14582,,1957,113898
21,1213,,257,14582,,1986,113898
23,1213,,262,14582,,2043,113898
30,1213,,236,14582,,1887,113898
28,1213,,233,14582,,1837,113898
24,1213,,257,14582,,3124,113898
23,1213,,266,14582,,2056,113898
22,1213,,334,14582,,1979,113898
27,1213,,348,14582,,2538,113898
22,1213,,261,14582,,1828,113898
21,1213,,272,14582,,1848,113898
23,1213,,239,14582,,2024,113898
23,1213,,229,14582,,1903,113898
25,1213,,230,14582,,1836,113898
41,1213,,261,14582,,1861,113898
21,1213,,479,14582,,1900,113898
22,1213,,232,14582,,1952,113898
41,1213,,241,14582,,2036,113898
22,1213,,229,14582,,1873,113898
29,1213,,230,14582,,2037,113898
24,1213,,232,14582,,1834,113898
23,1213,,231,14582,,2231,113898
26,1213,,258,14582,,1907,113898
22,1213,,232,14582,,1838,113898
22,1213,,303,14582,,1804,113898
26,1213,,229,14582,,1963,113898
33,1213,,236,14582,,1899,113898
36,1213,,233,14582,,4693,113898
22,1213,,235,14582,,2013,113898
23,1213,,233,14582,,1863,113898
33,1213,,231,14582,,1829,113898
36,1213,,281,14582,,2181,113898
25,1213,,264,14582,,1967,113898
22,1213,,233,14582,,1995,113898
23,1213,,306,14582,,1874,113898
46,1213,,231,14582,,1887,113898
22,1213,,231,14582,,1836,113898
21,1213,,231,14582,,1854,113898
21,1213,,228,14582,,2079,113898
24,1213,,256,14582,,1854,113898
22,1213,,263,14582,,1849,113898
23,1213,,234,14582,,1892,113898
28,1213,,275,14582,,2000,113898
28,1213,,250,14582,,1964,113898
37,1213,,229,14582,,1819,113898
28,1213,,235,14582,,1889,113898
22,1213,,232,14582,,1918,113898
22,1213,,233,14582,,2249,113898
41,1213,,244,14582,,1947,113898
22,1213,,231,14582,,1994,113898
23,1213,,245,14582,,1901,113898
32,1213,,232,14582,,1823,113898
22,1213,,262,14582,,1884,113898
40,1213,,229,14582,,1885,113898
23,1213,,233,14582,,1944,113898
22,1213,,231,14582,,1995,113898
22,1213,,251,14582,,1826,113898
25,1213,,266,14582,,1870,113898
28,1213,,283,14582,,1834,113898
22,1213,,239,14582,,1879,113898
22,1213,,251,14582,,2047,113898
24,1213,,232,14582,,1822,113898
22,1213,,230,14582,,1823,113898
21,1213,,436,14582,,1803,113898
20,1213,,265,14582,,1888,113898
20,1213,,279,14582,,1936,113898
24,1213,,234,14582,,1978,113898
24,1213,,259,14582,,1874,113898
38,1213,,408,14582,,2027,113898
21,1213,,234,14582,,1833,113898
22,1213,,232,14582,,1937,113898
22,1213,,247,14582,,2454,113898
22,1213,,272,14582,,1849,113898
21,1213,,234,14582,,1834,113898
