Time(us),number of Characters,,Time(us),number of Characters,,Time(us),number of Characters
23,1213,,235,14582,,1832,113898
24,1213,,228,14582,,1886,113898
24,1213,,267,14582,,1902,113898
28,1213,,229,14582,,1946,113898
22,1213,,255,14582,,1875,113898
22,1213,,231,14582,,1837,113898
29,1213,,228,14582,,1819,113898
25,1213,,253,14582,,1842,113898
26,1213,,251,14582,,2086,113898
40,1213,,229,14582,,1842,113898
47,1213,,252,14582,,1803,113898
22,1213,,232,14582,,1818,113898
21,1213,,253,14582,,1888,113898
31,1213,,287,14582,,1932,113898
22,1213,,275,14582,,1847,113898
24,1213,,257,14582,,1971,113898
22,1213,,229,14582,,1829,113898
21,1213,,1987,14582,,1857,113898
22,1213,,235,14582,,2994,113898
31,1213,,231,14582,,2145,113898
29,1213,,291,14582,,1842,113898
22,1213,,275,14582,,1853,113898
25,1213,,276,14582,,1866,113898
22,1213,,240,14582,,2056,113898
22,1213,,233,14582,,2071,113898
22,1213,,230,14582,,1894,113898
29,1213,,253,14582,,1839,113898
22,1213,,260,14582,,1825,113898
27,1213,,244,14582,,2273,113898
25,1213,,258,14582,,2235,113898
24,1213,,241,14582,,1824,113898
23,1213,,295,14582,,1832,113898
22,1213,,256,14582,,1977,113898
28,1213,,252,14582,,1835,113898
45,1213,,230,14582,,1975,113898
29,1213,,232,14582,,1944,113898
23,1213,,265,14582,,1897,113898
22,1213,,237,14582,,1840,113898
21,1213,,299,14582,,1821,113898
21,1213,,247,14582,,1866,113898
22,1213,,233,14582,,2343,113898
22,1213,,243,14582,,1984,113898
22,1213,,236,14582,,1819,113898
22,1213,,231,14582,,2291,113898
26,1213,,229,14582,,2187,113898
22,1213,,253,14582,,2003,113898
21,1213,,253,14582,,1909,113898
21,1213,,234,14582,,1937,113898
22,1213,,247,14582,,1823,113898
21,1213,,230,14582,,1817,113898
29,1213,,229,14582,,1930,113898
23,1213,,235,14582,,2109,113898
23,1213,,354,14582,,1897,113898
23,1213,,241,14582,,1930,113898
24,1213,,312,14582,,1923,113898
34,1213,,230,14582,,1839,113898
21,1213,,244,14582,,1959,113898
22,1213,,230,14582,,1877,113898
23,1213,,227,14582,,1828,113898
27,1213,,270,14582,,1961,113898
25,1213,,254,14582,,1929,113898
28,1213,,290,14582,,2218,113898
28,1213,,245,14582,,2703,113898
22,1213,,239,14582,,1827,113898
22,1213,,242,14582,,4469,113898
22,1213,,235,14582,,1863,113898
21,1213,,229,14582,,1931,113898
24,1213,,232,14582,,2103,113898
24,1213,,249,14582,,1837,113898
22,1213,,272,14582,,1834,113898
22,1213,,252,14582,,1832,113898
21,1213,,243,14582,,1847,113898
24,1213,,284,14582,,1974,113898
22,1213,,232,14582,,1843,113898
23,1213,,233,14582,,1856,113898
25,1213,,235,14582,,1870,113898
21,1213,,237,14582,,1845,113898
24,1213,,267,14582,,2008,113898
22,1213,,297,14582,,2015,113898
25,1213,,229,14582,,1829,113898
25,1213,,235,14582,,1815,113898
46,1213,,228,14582,,1822,113898
24,1213,,244,14582,,1915,113898
23,1213,,233,14582,,1957,113898
22,1213,,228,14582,,1949,113898
22,1213,,272,14582,,1898,113898
26,1213,,242,14582,,1862,113898
28,1213,,233,14582,,1844,113898
27,1213,,255,14582,,1855,113898
22,1213,,234,14582,,2224,113898
22,1213,,228,14582,,1817,113898
23,1213,,237,14582,,1823,113898
22,1213,,276,14582,,1907,113898
22,1213,,257,14582,,1997,113898
21,1213,,239,14582,,1986,113898
21,1213,,281,14582,,1852,113898
22,1213,,249,14582,,1942,113898
22,1213,,250,14582,,1823,113898
37,1213,,230,14582,,1914,113898
22,1213,,232,14582,,1953,113898
22,1213,,236,14582,,1880,113898
21,1213,,232,14582,,1864,113898
22,1213,,231,14582,,1829,113898
22,1213,,281,14582,,1893,113898
24,1213,,293,14582,,2051,113898
27,1213,,228,14582,,2252,113898
22,1213,,233,14582,,1826,113898
21,1213,,245,14582,,1877,113898
22,1213,,241,14582,,1813,113898
22,1213,,234,14582,,1977,113898
22,1213,,240,14582,,1931,113898
23,1213,,232,14582,,1880,113898
24,1213,,283,14582,,1824,113898
24,1213,,311,14582,,1822,113898
24,1213,,254,14582,,1924,113898
22,1213,,228,14582,,1955,113898
26,1213,,277,14582,,1832,113898
23,1213,,441,14582,,1936,113898
22,1213,,298,14582,,1857,113898
25,1213,,239,14582,,1831,113898
45,1213,,255,14582,,1938,113898
24,1213,,242,14582,,1835,113898
21,1213,,235,14582,,1827,113898
23,1213,,233,14582,,1805,113898
22,1213,,239,14582,,1875,113898
22,1213,,264,14582,,2119,113898
23,1213,,260,14582,,1921,113898
22,1213,,237,14582,,1868,113898
22,1213,,233,14582,,1877,113898
28,1213,,232,14582,,1804,113898
27,1213,,240,14582,,1849,113898
22,1213,,233,14582,,1945,113898
22,1213,,264,14582,,1912,113898
21,1213,,293,14582,,1830,113898
23,1213,,269,14582,,1810,113898
26,1213,,271,14582,,1862,113898
22,1213,,229,14582,,2117,113898
21,1213,,265,14582,,2063,113898
21,1213,,249,14582,,1861,113898
22,1213,,247,14582,,1947,113898
22,1213,,258,14582,,1833,113898
26,1213,,227,14582,,1937,113898
24,1213,,226,14582,,1954,113898
22,1213,,254,14582,,1820,113898
23,1213,,304,14582,,1883,113898
23,1213,,231,14582,,1832,113898
28,1213,,245,14582,,2072,113898
21,1213,,245,14582,,2031,113898
22,1213,,229,14582,,1829,113898
24,1213,,278,14582,,1828,113898
60,1213,,291,14582,,1908,113898
27,1213,,242,14582,,1937,113898
23,1213,,269,14582,,2062,113898
22,1213,,273,14582,,2160,113898
37,1213,,241,14582,,1980,113898
22,1213,,402,14582,,4794,113898
28,1213,,243,14582,,1889,113898
32,1213,,227,14582,,2046,113898
26,1213,,230,14582,,1865,113898
28,1213,,277,14582,,1843,113898
23,1213,,230,14582,,1989,113898
24,1213,,256,14582,,2433,113898
25,1213,,233,14582,,1992,113898
27,1213,,242,14582,,2056,113898
25,1213,,234,14582,,1921,113898
24,1213,,242,14582,,1842,113898
24,1213,,260,14582,,1941,113898
23,1213,,228,14582,,1896,113898
24,1213,,251,14582,,2027,113898
21,1213,,231,14582,,1859,113898
21,1213,,228,14582,,1944,113898
23,1213,,233,14582,,1825,113898
35,1213,,258,14582,,1829,113898
23,1213,,243,14582,,1976,113898
22,1213,,234,14582,,2010,113898
24,1213,,226,14582,,1831,113898
25,1213,,245,14582,,1855,113898
23,1213,,265,14582,,1855,113898
25,1213,,246,14582,,2029,113898
25,1213,,231,14582,,2024,113898
24,1213,,234,14582,,1881,113898
22,1213,,229,14582,,1968,113898
25,1213,,254,14582,,1811,113898
23,1213,,230,14582,,1847,113898
23,1213,,254,14582,,1949,113898
29,1213,,248,14582,,1993,113898
64,1213,,242,14582,,1835,113898
23,1213,,231,14582,,1900,113898
21,1213,,237,14582,,1929,113898
20,1213,,228,14582,,2037,113898
26,1213,,233,14582,,2596,113898
42,1213,,285,14582,,1864,113898
24,1213,,293,14582,,1901,113898
32,1213,,236,14582,,1852,113898
22,1213,,231,14582,,2139,113898
26,1213,,239,14582,,2049,113898
22,1213,,299,14582,,2237,113898
21,1213,,238,14582,,1861,113898
20,1213,,245,14582,,1845,113898
56,1213,,246,14582,,2426,113898
24,1213,,295,14582,,1964,113898
23,1213,,250,14582,,1827,113898
21,1213,,265,14582,,1901,113898
25,1213,,231,14582,,1822,113898
22,1213,,231,14582,,1849,113898
22,1213,,232,14582,,2079,113898
26,1213,,231,14582,,2001,113898
25,1213,,249,14582,,1835,113898
26,1213,,255,14582,,1822,113898
27,1213,,552,14582,,1826,113898
25,1213,,244,14582,,1955,113898
22,1213,,281,14582,,2036,113898
33,1213,,233,14582,,1878,113898
25,1213,,235,14582,,1908,113898
27,1213,,247,14582,,1830,113898
23,1213,,232,14582,,1819,113898
35,1213,,276,14582,,2036,113898
22,1213,,255,14582,,1984,113898
25,1213,,273,14582,,2004,113898
27,1213,,256,14582,,1825,113898
25,1213,,260,14582,,1917,113898
24,1213,,234,14582,,1988,113898
22,1213,,233,14582,,2022,113898
24,1213,,226,14582,,1958,113898
23,1213,,229,14582,,1848,113898
22,1213,,425,14582,,1910,113898
22,1213,,275,14582,,1829,113898
24,1213,,237,14582,,1796,113898
23,1213,,233,14582,,1982,113898
24,1213,,232,14582,,1838,113898
22,1213,,232,14582,,1867,113898
21,1213,,233,14582,,1837,113898
21,1213,,274,14582,,1921,113898
23,1213,,292,14582,,2053,113898
51,1213,,251,14582,,2000,113898
23,1213,,232,14582,,1892,113898
23,1213,,226,14582,,1888,113898
27,1213,,248,14582,,1895,113898
22,1213,,237,14582,,1862,113898
21,1213,,271,14582,,2037,113898
22,1213,,374,14582,,1915,113898
22,1213,,262,14582,,1861,113898
21,1213,,274,14582,,1865,113898
24,1213,,268,14582,,1926,113898
28,1213,,230,14582,,1953,113898
22,1213,,231,14582,,2083,113898
23,1213,,271,14582,,1880,113898
22,1213,,357,14582,,1875,113898
21,1213,,324,14582,,1821,113898
20,1213,,233,14582,,1987,113898
26,1213,,236,14582,,1954,113898
31,1213,,249,14582,,1850,113898
23,1213,,252,14582,,1831,113898
45,1213,,281,14582,,1829,113898
22,1213,,442,14582,,1901,113898
28,1213,,294,14582,,2041,113898
23,1213,,237,14582,,1876,113898
22,1213,,234,14582,,1819,113898
25,1213,,243,14582,,1830,113898
26,1213,,232,14582,,1819,113898
22,1213,,239,14582,,1882,113898
22,1213,,262,14582,,2049,113898
21,1213,,230,14582,,1848,113898
21,1213,,258,14582,,1820,113898
23,1213,,238,14582,,1844,113898
24,1213,,259,14582,,1898,113898
27,1213,,232,14582,,1953,113898
29,1213,,229,14582,,1891,113898
59,1213,,280,14582,,1987,113898
22,1213,,248,14582,,1835,113898
23,1213,,242,14582,,1820,113898
22,1213,,263,14582,,2041,113898
22,1213,,227,14582,,1860,113898
25,1213,,226,14582,,1881,113898
22,1213,,272,14582,,1845,113898
30,1213,,229,14582,,2005,113898
22,1213,,255,14582,,2756,113898
23,1213,,243,14582,,1935,113898
23,1213,,229,14582,,1879,113898
22,1213,,235,14582,,1857,113898
22,1213,,230,14582,,1880,113898
22,1213,,258,14582,,1847,113898
41,1213,,258,14582,,1968,113898
29,1213,,234,14582,,2023,113898
26,1213,,236,14582,,1843,113898
22,1213,,229,14582,,1840,113898
21,1213,,257,14582,,1910,113898
22,1213,,233,14582,,2006,113898
22,1213,,229,14582,,1952,113898
42,1213,,242,14582,,1880,113898
24,1213,,227,14582,,1828,113898
22,1213,,229,14582,,1827,113898
22,1213,,235,14582,,1847,113898
47,1213,,247,14582,,1984,113898
23,1213,,276,14582,,1818,113898
22,1213,,256,14582,,1825,113898
21,1213,,231,14582,,1876,113898
21,1213,,234,14582,,1904,113898
26,1213,,230,14582,,2079,113898
30,1213,,234,14582,,5166,113898
23,1213,,228,14582,,1815,113898
22,1213,,412,14582,,1779,113898
21,1213,,267,14582,,1851,113898
23,1213,,248,14582,,2248,113898
22,1213,,229,14582,,1893,113898
21,1213,,231,14582,,1818,113898
22,1213,,252,14582,,1899,113898
28,1213,,246,14582,,1857,113898
23,1213,,262,14582,,1863,113898
23,1213,,285,14582,,1939,113898
24,1213,,256,14582,,2236,113898
23,1213,,260,14582,,1838,113898
21,1213,,408,14582,,1838,113898
20,1213,,237,14582,,1847,113898
24,1213,,229,14582,,1897,113898
29,1213,,315,14582,,1899,113898
23,1213,,263,14582,,1816,113898
22,1213,,238,14582,,1871,113898
22,1213,,232,14582,,1821,113898
23,1213,,269,14582,,2051,113898
22,1213,,273,14582,,1944,113898
28,1213,,245,14582,,1908,113898
23,1213,,348,14582,,1795,113898
22,1213,,248,14582,,1857,113898
26,1213,,231,14582,,2063,113898
22,1213,,254,14582,,2046,113898
21,1213,,231,14582,,1854,113898
30,1213,,231,14582,,1887,113898
38,1213,,231,14582,,1951,113898
47,1213,,236,14582,,1992,113898
22,1213,,268,14582,,1992,113898
21,1213,,335,14582,,2102,113898
22,1213,,275,14582,,1931,113898
21,1213,,233,14582,,1823,113898
20,1213,,270,14582,,1830,113898
25,1213,,252,14582,,1869,113898
23,1213,,253,14582,,2155,113898
22,1213,,234,14582,,1813,113898
34,1213,,232,14582,,1886,113898
23,1213,,308,14582,,1881,113898
22,1213,,402,14582,,1841,113898
26,1213,,266,14582,,1859,113898
22,1213,,244,14582,,1937,113898
21,1213,,246,14582,,1826,113898
23,1213,,231,14582,,1831,113898
24,1213,,271,14582,,1827,113898
41,1213,,242,14582,,2108,113898
22,1213,,252,14582,,1955,113898
23,1213,,227,14582,,1948,113898
20,1213,,229,14582,,1889,113898
23,1213,,285,14582,,1845,113898
22,1213,,250,14582,,1904,113898
33,1213,,266,14582,,1933,113898
22,1213,,228,14582,,2070,113898
22,1213,,280,14582,,1851,113898
24,1213,,259,14582,,1829,113898
22,1213,,257,14582,,1868,113898
22,1213,,250,14582,,1971,113898
27,1213,,240,14582,,2006,113898
22,1213,,227,14582,,1878,113898
22,1213,,303,14582,,1868,113898
27,1213,,265,14582,,1887,113898
25,1213,,233,14582,,1830,113898
22,1213,,230,14582,,1971,113898
22,1213,,241,14582,,1929,113898
22,1213,,259,14582,,1939,113898
21,1213,,238,14582,,1832,113898
21,1213,,233,14582,,1874,113898
25,1213,,271,14582,,1934,113898
22,1213,,244,14582,,1924,113898
22,1213,,410,14582,,1842,113898
21,1213,,261,14582,,1913,113898
22,1213,,229,14582,,1863,113898
22,1213,,259,14582,,1810,113898
25,1213,,227,14582,,1929,113898
22,1213,,294,14582,,1935,113898
23,1213,,317,14582,,1955,113898
44,1213,,271,14582,,1844,113898
23,1213,,286,14582,,1827,113898
23,1213,,229,14582,,1819,113898
22,1213,,257,14582,,2553,113898
20,1213,,231,14582,,2035,113898
21,1213,,227,14582,,1913,113898
34,1213,,235,14582,,1916,113898
32,1213,,232,14582,,1936,113898
24,1213,,348,14582,,1845,113898
24,1213,,239,14582,,2023,113898
27,1213,,227,14582,,1835,113898
22,1213,,235,14582,,1830,113898
22,1213,,233,14582,,1835,113898
28,1213,,239,14582,,1892,113898
24,1213,,246,14582,,1984,113898
24,1213,,290,14582,,1931,113898
23,1213,,250,14582,,1936,113898
22,1213,,238,14582,,1841,113898
30,1213,,229,14582,,1825,113898
22,1213,,230,14582,,1874,113898
23,1213,,254,14582,,2151,113898
28,1213,,247,14582,,1834,113898
26,1213,,235,14582,,1923,113898
22,1213,,234,14582,,1920,113898
22,1213,,324,14582,,1974,113898
22,1213,,346,14582,,1967,113898
21,1213,,234,14582,,1892,113898
23,1213,,263,14582,,1849,113898
24,1213,,233,14582,,1824,113898
22,1213,,232,14582,,1854,113898
26,1213,,254,14582,,2247,113898
25,1213,,254,14582,,1854,113898
22,1213,,236,14582,,1825,113898
22,1213,,233,14582,,1913,113898
24,1213,,243,14582,,1925,113898
31,1213,,275,14582,,2094,113898
22,1213,,229,14582,,2117,113898
24,1213,,233,14582,,1947,113898
22,1213,,253,14582,,1823,113898
22,1213,,233,14582,,1822,113898
21,1213,,247,14582,,1891,113898
22,1213,,246,14582,,2116,113898
21,1213,,234,14582,,1904,113898
26,1213,,233,14582,,1823,113898
25,1213,,228,14582,,1934,113898
27,1213,,229,14582,,2153,113898
22,1213,,239,14582,,1869,113898
23,1213,,249,14582,,1977,113898
22,1213,,253,14582,,2140,113898
32,1213,,230,14582,,1834,113898
25,1213,,240,14582,,1825,113898
44,1213,,230,14582,,1846,113898
22,1213,,249,14582,,2086,113898
21,1213,,230,14582,,1849,113898
22,1213,,245,14582,,1868,113898
26,1213,,245,14582,,1826,113898
32,1213,,344,14582,,1831,113898
22,1213,,251,14582,,1946,113898
23,1213,,231,14582,,1987,113898
22,1213,,228,14582,,1864,113898
23,1213,,232,14582,,1859,113898
25,1213,,285,14582,,1814,113898
22,1213,,265,14582,,1927,113898
29,1213,,254,14582,,2168,113898
24,1213,,282,14582,,1930,113898
23,1213,,259,14582,,1847,113898
26,1213,,235,14582,,1857,113898
22,1213,,232,14582,,1815,113898
22,1213,,231,14582,,1822,113898
22,1213,,236,14582,,2501,113898
25,1213,,241,14582,,2035,113898
24,1213,,242,14582,,1827,113898
29,1213,,255,14582,,1821,113898
23,1213,,246,14582,,1947,113898
24,1213,,231,14582,,2232,113898
27,1213,,273,14582,,1920,113898
22,1213,,261,14582,,1878,113898
30,1213,,234,14582,,1867,113898
23,1213,,227,14582,,1868,113898
25,1213,,282,14582,,2486,113898
23,1213,,264,14582,,2191,113898
25,1213,,289,14582,,1840,113898
22,1213,,248,14582,,1868,113898
23,1213,,227,14582,,1880,113898
22,1213,,312,14582,,1825,113898
22,1213,,254,14582,,2022,113898
27,1213,,246,14582,,2056,113898
22,1213,,233,14582,,1933,113898
21,1213,,229,14582,,1844,113898
21,1213,,251,14582,,1842,113898
22,1213,,261,14582,,2032,113898
24,1213,,261,14582,,2523,113898
22,1213,,243,14582,,1830,113898
26,1213,,279,14582,,1881,113898
69,1213,,411,14582,,1873,113898
22,1213,,269,14582,,1842,113898
22,1213,,267,14582,,2011,113898
22,1213,,229,14582,,2046,113898
21,1213,,234,14582,,1852,113898
21,1213,,242,14582,,1830,113898
30,1213,,269,14582,,1824,113898
30,1213,,229,14582,,1919,113898
23,1213,,242,14582,,1983,113898
22,1213,,231,14582,,2009,113898
22,1213,,234,14582,,1820,113898
21,1213,,254,14582,,1964,113898
22,1213,,258,14582,,1837,113898
22,1213,,232,14582,,1802,113898
21,1213,,248,14582,,1961,113898
22,1213,,257,14582,,1959,113898
28,1213,,252,14582,,1825,113898
28,1213,,287,14582,,1837,113898
27,1213,,241,14582,,1855,113898
22,1213,,236,14582,,2039,113898
30,1213,,366,14582,,1929,113898
21,1213,,269,14582,,1824,113898
21,1213,,287,14582,,1860,113898
23,1213,,231,14582,,1825,113898
23,1213,,260,14582,,1843,113898
22,1213,,231,14582,,2062,113898
21,1213,,232,14582,,1856,113898
21,1213,,229,14582,,1826,113898
23,1213,,231,14582,,2030,113898
26,1213,,254,14582,,1888,113898
32,1213,,321,14582,,2048,113898
